Well,Fluor,Target,Content,treatment,location,aphid treatment,bio.rep,tech.rep,acs.ct,betat.ct,pemv.1,pemv.2
D10,SYBR,PEMV 1,Unkn-16,A+ BOT,Bottom,Infective,1,1,18.14591277,23.74890754,-5.602994775,-3.236088132
D11,SYBR,PEMV 1,Unkn-16,A+ BOT,Bottom,Infective,1,2,17.606177,23.381989,-5.775811996,-2.92341292
D12,SYBR,PEMV 1,Unkn-16,A+ BOT,Bottom,Infective,1,3,18.49474436,23.42910438,-4.93436002,-2.480790095
E01,SYBR,PEMV 1,Unkn-17,A+ BOT,Bottom,Infective,2,1,20.01013369,24.20502153,-4.194887843,-1.857505044
E02,SYBR,PEMV 1,Unkn-17,A+ BOT,Bottom,Infective,2,2,19.19184523,24.83901584,-5.647170617,-2.761836139
E03,SYBR,PEMV 1,Unkn-17,A+ BOT,Bottom,Infective,2,3,19.24766485,24.65673959,-5.409074737,-2.375591704
E04,SYBR,PEMV 1,Unkn-18,A+ BOT,Bottom,Infective,3,1,19.97968433,24.33548513,-4.355800801,-2.071872311
E05,SYBR,PEMV 1,Unkn-18,A+ BOT,Bottom,Infective,3,2,20.65105093,24.39259934,-3.741548416,-1.902555041
E06,SYBR,PEMV 1,Unkn-18,A+ BOT,Bottom,Infective,3,3,20.22128691,24.3338809,-4.112593984,-1.846264012
H08,SYBR,PEMV 1,Unkn-33,A+ BOT,Bottom,Infective,4,1,22.51177843,25.70414299,-3.192364561,1.252384531
H09,SYBR,PEMV 1,Unkn-33,A+ BOT,Bottom,Infective,4,2,23.57165298,24.87251625,-1.300863268,2.084011275
D01,SYBR,PEMV 1,Unkn-13,A+ MID,Middle,Infective,1,1,20.72402363,26.46717675,-5.743153114,-3.488120152
D02,SYBR,PEMV 1,Unkn-13,A+ MID,Middle,Infective,1,2,20.52289749,26.28779647,-5.764898977,-3.507645632
D03,SYBR,PEMV 1,Unkn-13,A+ MID,Middle,Infective,1,3,20.02867961,26.11131742,-6.082637817,-3.246578369
D04,SYBR,PEMV 1,Unkn-14,A+ MID,Middle,Infective,2,1,19.12650253,25.74790344,-6.621400912,-4.546644757
D05,SYBR,PEMV 1,Unkn-14,A+ MID,Middle,Infective,2,2,18.85755185,25.85124196,-6.993690113,-4.804111549
D06,SYBR,PEMV 1,Unkn-14,A+ MID,Middle,Infective,2,3,18.48650293,25.99255109,-7.50604816,-4.853855807
D07,SYBR,PEMV 1,Unkn-15,A+ MID,Middle,Infective,3,1,19.04927397,24.94291793,-5.893643963,-3.559686634
D08,SYBR,PEMV 1,Unkn-15,A+ MID,Middle,Infective,3,2,19.58629979,24.91234613,-5.326046342,-3.042247493
D09,SYBR,PEMV 1,Unkn-15,A+ MID,Middle,Infective,3,3,18.18677113,25.0993968,-6.912625672,-3.350163046
H06,SYBR,PEMV 1,Unkn-32,A+ MID,Middle,Infective,4,1,26.60550921,29.56171266,-2.956203446,-1.330846363
H07,SYBR,PEMV 1,Unkn-32,A+ MID,Middle,Infective,4,2,25.54361057,29.80253368,-4.258923108,-1.571667382
C04,SYBR,PEMV 1,Unkn-10,A+ TOP,Top,Infective,1,1,17.01005479,23.27351375,-6.263458952,-3.091580804
C05,SYBR,PEMV 1,Unkn-10,A+ TOP,Top,Infective,1,2,17.10932644,23.25743247,-6.14810603,-3.161583822
C06,SYBR,PEMV 1,Unkn-10,A+ TOP,Top,Infective,1,3,17.11825557,23.41475669,-6.296501127,-3.266945063
C07,SYBR,PEMV 1,Unkn-11,A+ TOP,Top,Infective,2,1,20.52208117,26.9662752,-6.444194029,-4.961632401
C08,SYBR,PEMV 1,Unkn-11,A+ TOP,Top,Infective,2,2,19.97386312,27.18619517,-7.212332055,-5.296071617
C09,SYBR,PEMV 1,Unkn-11,A+ TOP,Top,Infective,2,3,20.17066285,26.59276379,-6.422100944,-4.619146972
C10,SYBR,PEMV 1,Unkn-12,A+ TOP,Top,Infective,3,1,17.43551072,24.69941339,-7.263902678,-4.605586419
C11,SYBR,PEMV 1,Unkn-12,A+ TOP,Top,Infective,3,2,15.75861749,24.28912044,-8.530502952,-4.323205354
C12,SYBR,PEMV 1,Unkn-12,A+ TOP,Top,Infective,3,3,18.80944836,25.92253742,-7.113089061,-5.888852732
H04,SYBR,PEMV 1,Unkn-31,A+TOP,Top,Infective,4,1,15.58677949,25.02227458,-9.435495092,-5.221642319
H05,SYBR,PEMV 1,Unkn-31,A+TOP,Top,Infective,4,2,16.22715036,24.16075075,-7.933600385,-5.11104096
B07,SYBR,PEMV 1,Unkn-07,W+A+ BOTTOM,Bottom,Weevil and Infective,1,1,21.00734601,26.03399064,-5.026644626,-1.91882042
B08,SYBR,PEMV 1,Unkn-07,W+A+ BOTTOM,Bottom,Weevil and Infective,1,2,21.78013792,25.70028155,-3.92014363,-1.952929176
B09,SYBR,PEMV 1,Unkn-07,W+A+ BOTTOM,Bottom,Weevil and Infective,1,3,22.06332809,25.28814549,-3.224817398,-1.282177019
B10,SYBR,PEMV 1,Unkn-08,W+A+ BOTTOM,Bottom,Weevil and Infective,2,1,18.64848057,26.47386869,-7.825388116,-5.588590755
B11,SYBR,PEMV 1,Unkn-08,W+A+ BOTTOM,Bottom,Weevil and Infective,2,2,19.69758038,26.27998278,-6.582402406,-5.255842838
B12,SYBR,PEMV 1,Unkn-08,W+A+ BOTTOM,Bottom,Weevil and Infective,2,3,,26.45396658,-7.280936105,-5.283335092
C01,SYBR,PEMV 1,Unkn-09,W+A+ BOTTOM,Bottom,Weevil and Infective,3,1,18.95676484,25.35916361,-6.402398774,-2.272769927
C02,SYBR,PEMV 1,Unkn-09,W+A+ BOTTOM,Bottom,Weevil and Infective,3,2,18.84402851,25.06759388,-6.223565366,-2.164810394
C03,SYBR,PEMV 1,Unkn-09,W+A+ BOTTOM,Bottom,Weevil and Infective,3,3,18.61760806,24.98555209,-6.367944039,-2.084855651
H02,SYBR,PEMV 1,Unkn-30,W+A+ BOTTOM,Bottom,Weevil and Infective,4,1,20.2417998,26.3802943,-6.138494496,-5.185548305
H03,SYBR,PEMV 1,Unkn-30,W+A+ BOTTOM,Bottom,Weevil and Infective,4,2,20.47060616,26.2022982,-5.731692041,-4.608471708
A10,SYBR,PEMV 1,Unkn-04,W+A+ MID,Middle,Weevil and Infective,1,1,21.1747535,26.1436935,-4.96894,-4.877887292
A11,SYBR,PEMV 1,Unkn-04,W+A+ MID,Middle,Weevil and Infective,1,2,,25.8720499,-3.454413747,-4.606243694
A12,SYBR,PEMV 1,Unkn-04,W+A+ MID,Middle,Weevil and Infective,1,3,23.66051881,26.18816393,-2.52764512,-4.922357721
B01,SYBR,PEMV 1,Unkn-05,W+A+ MID,Middle,Weevil and Infective,2,1,19.03982735,24.78561001,-5.74578266,-2.701623585
B02,SYBR,PEMV 1,Unkn-05,W+A+ MID,Middle,Weevil and Infective,2,2,18.77485305,25.05223794,-6.277384888,-3.181992571
B03,SYBR,PEMV 1,Unkn-05,W+A+ MID,Middle,Weevil and Infective,2,3,18.92478295,24.74466483,-5.819881878,-2.710606565
B04,SYBR,PEMV 1,Unkn-06,W+A+ MID,Middle,Weevil and Infective,3,1,17.23951493,24.14947017,-6.90995524,-3.896710359
B05,SYBR,PEMV 1,Unkn-06,W+A+ MID,Middle,Weevil and Infective,3,2,17.19053598,24.23987235,-7.049336364,-3.903662025
B06,SYBR,PEMV 1,Unkn-06,W+A+ MID,Middle,Weevil and Infective,3,3,17.1286005,24.2595084,-7.130907901,-3.925191747
G12,SYBR,PEMV 1,Unkn-29,W+A+ MID,Middle,Weevil and Infective,4,1,19.23903316,24.50962615,-5.27059299,-4.290750041
H01,SYBR,PEMV 1,Unkn-29,W+A+ MID,Middle,Weevil and Infective,4,2,19.23903316,24.98214441,-5.743111249,-4.7632683
A01,SYBR,PEMV 1,Unkn-01,W+A+ TOP,Top,Weevil and Infective,1,1,,28.03260812,-8.07578815,-5.166799656
A02,SYBR,PEMV 1,Unkn-01,W+A+ TOP,Top,Weevil and Infective,1,2,19.84769937,27.63667136,-7.788971987,-5.039173932
A03,SYBR,PEMV 1,Unkn-01,W+A+ TOP,Top,Weevil and Infective,1,3,20.06594058,27.81711463,-7.751174056,-5.28524657
A04,SYBR,PEMV 1,Unkn-02,W+A+ TOP,Top,Weevil and Infective,2,1,19.40536955,26.26298061,-6.857611058,-3.929634927
A05,SYBR,PEMV 1,Unkn-02,W+A+ TOP,Top,Weevil and Infective,2,2,19.87547978,26.57383562,-6.69835584,-4.30421068
A06,SYBR,PEMV 1,Unkn-02,W+A+ TOP,Top,Weevil and Infective,2,3,19.97998577,26.25570825,-6.275722481,-3.313858681
A07,SYBR,PEMV 1,Unkn-03,W+A+ TOP,Top,Weevil and Infective,3,1,28.13115406,30.32476256,-2.193608499,0.753642582
A08,SYBR,PEMV 1,Unkn-03,W+A+ TOP,Top,Weevil and Infective,3,2,28.68844867,30.25350677,-1.565058099,0.507562976
A09,SYBR,PEMV 1,Unkn-03,W+A+ TOP,Top,Weevil and Infective,3,3,28.53381582,30.10764766,-1.573831843,1.381585854
G10,SYBR,PEMV 1,Unkn-28,W+A+ TOP,Top,Weevil and Infective,4,1,39.66083501,30.06895213,9.591882872,-30.06895213
G11,SYBR,PEMV 1,Unkn-28,W+A+ TOP,Top,Weevil and Infective,4,2,,29.3132847,-29.3132847,-29.3132847
G01,SYBR,PEMV 1,Unkn-25,W-A- BOT,Bottom,Control,1,1,35.94169049,28.24761438,7.694076109,-28.24761438
G02,SYBR,PEMV 1,Unkn-25,W-A- BOT,Bottom,Control,1,2,35.04439452,27.5359992,7.508395323,-27.5359992
G03,SYBR,PEMV 1,Unkn-25,W-A- BOT,Bottom,Control,1,3,34.19735592,27.77451972,6.422836203,-27.77451972
G04,SYBR,PEMV 1,Unkn-26,W-A- BOT,Bottom,Control,2,1,33.5230124,27.6606851,5.862327302,-27.6606851
G05,SYBR,PEMV 1,Unkn-26,W-A- BOT,Bottom,Control,2,2,33.84741742,30.65326159,3.194155826,5.300091341
G06,SYBR,PEMV 1,Unkn-26,W-A- BOT,Bottom,Control,2,3,35.72471209,29.05130394,6.673408158,-29.05130394
G07,SYBR,PEMV 1,Unkn-27,W-A- BOT,Bottom,Control,3,1,32.8793147,26.01089921,6.868415486,8.475202966
G08,SYBR,PEMV 1,Unkn-27,W-A- BOT,Bottom,Control,3,2,32.21752382,25.89284387,6.324679948,10.08351844
G09,SYBR,PEMV 1,Unkn-27,W-A- BOT,Bottom,Control,3,3,33.02432134,25.26223317,7.76208816,9.998021939
H12,SYBR,PEMV 1,Unkn-36,W-A- BOT,Bottom,Control,4,1,34.58535198,27.4441552,7.141196784,-27.4441552
F04,SYBR,PEMV 1,Unkn-22,W-A- MID,Middle,Control,1,1,35.06969278,27.17170201,7.897990771,-27.17170201
F05,SYBR,PEMV 1,Unkn-22,W-A- MID,Middle,Control,1,2,34.0416651,27.41023073,6.631434363,-27.41023073
F06,SYBR,PEMV 1,Unkn-22,W-A- MID,Middle,Control,1,3,36.47691675,27.03624394,9.440672807,8.102500748
F07,SYBR,PEMV 1,Unkn-23,W-A- MID,Middle,Control,2,1,32.66553809,26.65859817,6.006939923,-26.65859817
F08,SYBR,PEMV 1,Unkn-23,W-A- MID,Middle,Control,2,2,31.26054999,26.72411893,4.53643106,8.465764844
F09,SYBR,PEMV 1,Unkn-23,W-A- MID,Middle,Control,2,3,32.27249894,26.67441115,5.598087786,-26.67441115
F10,SYBR,PEMV 1,Unkn-24,W-A- MID,Middle,Control,3,1,32.13008956,27.79005606,4.340033496,7.566484151
F11,SYBR,PEMV 1,Unkn-24,W-A- MID,Middle,Control,3,2,32.27389053,28.06839336,4.205497162,-28.06839336
F12,SYBR,PEMV 1,Unkn-24,W-A- MID,Middle,Control,3,3,32.71672369,27.80053349,4.916190195,8.003937056
H11,SYBR,PEMV 1,Unkn-35,W-A- MID,Middle,Control,4,1,,31.04116584,-31.04116584,-31.04116584
E07,SYBR,PEMV 1,Unkn-19,W-A- TOP,Top,Control,1,1,32.05349313,20.24712714,11.80636599,14.34077162
E08,SYBR,PEMV 1,Unkn-19,W-A- TOP,Top,Control,1,2,33.74444151,21.75608548,11.98835603,15.36747471
E09,SYBR,PEMV 1,Unkn-19,W-A- TOP,Top,Control,1,3,32.71544333,21.8676902,10.84775313,-21.8676902
E10,SYBR,PEMV 1,Unkn-20,W-A- TOP,Top,Control,2,1,31.403669,23.90164109,7.502027912,10.81081666
E11,SYBR,PEMV 1,Unkn-20,W-A- TOP,Top,Control,2,2,30.82980858,24.88790686,5.941901723,9.647125409
E12,SYBR,PEMV 1,Unkn-20,W-A- TOP,Top,Control,2,3,,24.03491733,7.081821459,11.33224644
F01,SYBR,PEMV 1,Unkn-21,W-A- TOP,Top,Control,3,1,33.47109405,23.31144658,10.15964747,11.06215801
F02,SYBR,PEMV 1,Unkn-21,W-A- TOP,Top,Control,3,2,32.88968956,23.75595314,9.133736421,10.55216065
F03,SYBR,PEMV 1,Unkn-21,W-A- TOP,Top,Control,3,3,33.78068496,23.64491717,10.13576779,12.00249581
H10,SYBR,PEMV 1,Unkn-34,W-A- TOP,Top,Control,4,1,36.10107607,23.14225722,12.95881884,9.925656646
