Fluor,Target,Content,Treatment,location,aphid.treatment,bio.rep,tech.rep,Cq of  PR1,Cq of Beta tub,pr.1,opr.1,pr1.norm,opr1.norm
SYBR,PR 1,Unkn-16,A+ BOT,Bottom,Infective,1,1,22.88646443,24.00563483,-1.119170402,3.890323059,,
SYBR,PR 1,Unkn-16,A+ BOT,Bottom,Infective,1,2,21.94096537,25.05681356,-3.115848192,3.894466242,,
SYBR,PR 1,Unkn-16,A+ BOT,Bottom,Infective,1,3,21.66827134,24.8030072,-3.134735861,3.516544391,,
SYBR,PR 1,Unkn-17,A+ BOT,Bottom,Infective,2,1,21.77155981,24.70605611,-2.9344963,3.077747329,,
SYBR,PR 1,Unkn-17,A+ BOT,Bottom,Infective,2,2,22.31085369,23.58499423,-1.274140541,3.112355371,,
SYBR,PR 1,Unkn-17,A+ BOT,Bottom,Infective,2,3,22.20007699,23.67598812,-1.475911134,3.414075029,,
SYBR,PR 1,Unkn-18,A+ BOT,Bottom,Infective,3,1,22.27256306,23.36921351,-1.096650458,4.146088132,,
SYBR,PR 1,Unkn-18,A+ BOT,Bottom,Infective,3,2,23.30876956,24.31523903,-1.006469468,4.138469692,,
SYBR,PR 1,Unkn-18,A+ BOT,Bottom,Infective,3,3,23.45741316,24.53414959,-1.07673643,4.161088851,,
SYBR,PR 1,Unkn-13,A+ MID,Middle,Infective,1,1,22.41513664,24.83535086,-2.420214221,1.65050941,,
SYBR,PR 1,Unkn-13,A+ MID,Middle,Infective,1,2,22.23950677,24.45481864,-2.215311864,1.428874095,,
SYBR,PR 1,Unkn-13,A+ MID,Middle,Infective,1,3,22.39420233,24.44893609,-2.05473376,1.346121399,,
SYBR,PR 1,Unkn-14,A+ MID,Middle,Infective,2,1,23.65730635,26.91324684,-3.255940491,2.168469104,,
SYBR,PR 1,Unkn-14,A+ MID,Middle,Infective,2,2,23.59782734,27.17096543,-3.573138084,2.655003708,,
SYBR,PR 1,Unkn-14,A+ MID,Middle,Infective,2,3,23.65370017,26.84570439,-3.192004218,2.305145196,,
SYBR,PR 1,Unkn-15,A+ MID,Middle,Infective,3,1,23.12757354,26.10119118,-2.97361764,2.86110251,,
SYBR,PR 1,Unkn-15,A+ MID,Middle,Infective,3,2,23.04381345,25.72735836,-2.683544908,3.345269,,
SYBR,PR 1,Unkn-15,A+ MID,Middle,Infective,3,3,22.65261921,26.08021688,-3.427597673,3.242580225,,
SYBR,PR 1,Unkn-10,A+ TOP,Top,Infective,1,1,26.5387681,27.55312503,-1.01435693,3.135378416,,
SYBR,PR 1,Unkn-10,A+ TOP,Top,Infective,1,2,26.84250881,27.27177743,-0.429268613,2.780167251,,
SYBR,PR 1,Unkn-10,A+ TOP,Top,Infective,1,3,26.70643874,27.54603811,-0.839599372,3.166806804,,
SYBR,PR 1,Unkn-11,A+ TOP,Top,Infective,2,1,24.93900396,24.5681507,0.370853261,1.015384844,,
SYBR,PR 1,Unkn-11,A+ TOP,Top,Infective,2,2,24.94902411,24.19147231,0.757551809,0.912737507,,
SYBR,PR 1,Unkn-11,A+ TOP,Top,Infective,2,3,25.09266241,24.15856544,0.934096969,1.513403709,,
SYBR,PR 1,Unkn-12,A+ TOP,Top,Infective,3,1,25.31553206,24.60690907,0.708622987,1.785357857,,
SYBR,PR 1,Unkn-12,A+ TOP,Top,Infective,3,2,25.37223788,24.51912637,0.853111503,1.731512814,,
SYBR,PR 1,Unkn-12,A+ TOP,Top,Infective,3,3,25.39857575,24.82621288,0.572362862,1.046523595,,
SYBR,PR 1,Unkn-25,W+A- BOT,Bottom,Weevils only,1,1,29.00377206,20.93634135,8.067430707,-2.032595993,,
SYBR,PR 1,Unkn-25,W+A- BOT,Bottom,Weevils only,1,2,28.8406871,21.04036612,7.800320988,-2.795320748,,
SYBR,PR 1,Unkn-25,W+A- BOT,Bottom,Weevils only,1,3,29.16886984,21.13266859,8.036201244,-2.27492365,,
SYBR,PR 1,Unkn-26,W+A- BOT,Bottom,Weevils only,2,1,31.23917328,23.50826751,7.730905761,0.588229545,,
SYBR,PR 1,Unkn-26,W+A- BOT,Bottom,Weevils only,2,2,31.16585643,23.60632714,7.559529292,-1.516600005,,
SYBR,PR 1,Unkn-26,W+A- BOT,Bottom,Weevils only,2,3,31.53796127,23.28130377,8.2566575,-1.232893718,,
SYBR,PR 1,Unkn-27,W+A- BOT,Bottom,Weevils only,3,1,28.86243494,22.44933794,6.413097006,-1.826638375,,
SYBR,PR 1,Unkn-27,W+A- BOT,Bottom,Weevils only,3,2,29.15957272,22.14783231,7.011740413,-1.658030585,,
SYBR,PR 1,Unkn-27,W+A- BOT,Bottom,Weevils only,3,3,28.73630212,22.1931085,6.543193618,-1.2357144,,
SYBR,PR 1,Unkn-22,W+A- MID,Middle,Weevils only,1,1,30.00666058,22.35385655,7.65280403,-1.257633774,,
SYBR,PR 1,Unkn-22,W+A- MID,Middle,Weevils only,1,2,29.91393083,22.18795703,7.725973807,-1.56738424,,
SYBR,PR 1,Unkn-22,W+A- MID,Middle,Weevils only,1,3,29.97093025,22.06169354,7.909236716,-1.489307228,,
SYBR,PR 1,Unkn-23,W+A- MID,Middle,Weevils only,2,1,30.75634601,22.47307176,8.283274254,0.49514501,,
SYBR,PR 1,Unkn-23,W+A- MID,Middle,Weevils only,2,2,30.63729672,22.43512594,8.202170772,0.437315402,,
SYBR,PR 1,Unkn-23,W+A- MID,Middle,Weevils only,2,3,30.65247612,22.68123506,7.971241062,0.120946471,,
SYBR,PR 1,Unkn-24,W+A- MID,Middle,Weevils only,3,1,29.80597888,22.49208874,7.313890147,-1.711758894,,
SYBR,PR 1,Unkn-24,W+A- MID,Middle,Weevils only,3,2,29.8947781,22.49849366,7.39628444,-1.963596006,,
SYBR,PR 1,Unkn-24,W+A- MID,Middle,Weevils only,3,3,30.12337069,22.63083087,7.49253982,-1.791686666,,
SYBR,PR 1,Unkn-19,W+A- TOP,Top,Weevils only,1,1,30.58246675,23.50826751,7.074199238,0.572653792,,
SYBR,PR 1,Unkn-19,W+A- TOP,Top,Weevils only,1,2,30.36778229,23.60632714,6.761455149,-0.086417371,,
SYBR,PR 1,Unkn-19,W+A- TOP,Top,Weevils only,1,3,31.09720854,23.28130377,7.815904776,0.30897542,,
SYBR,PR 1,Unkn-20,W+A- TOP,Top,Weevils only,2,1,29.97848485,27.55814201,2.420342841,0.698655536,,
SYBR,PR 1,Unkn-20,W+A- TOP,Top,Weevils only,2,2,29.46377331,27.46128878,2.00248453,0.801049964,,
SYBR,PR 1,Unkn-20,W+A- TOP,Top,Weevils only,2,3,30.52869691,27.77103338,2.757663531,0.969657329,,
SYBR,PR 1,Unkn-21,W+A- TOP,Top,Weevils only,3,1,29.94930195,27.46053426,2.488767687,0.685328453,,
SYBR,PR 1,Unkn-21,W+A- TOP,Top,Weevils only,3,2,30.18033307,27.60421752,2.576115546,0.755778449,,
SYBR,PR 1,Unkn-21,W+A- TOP,Top,Weevils only,3,3,29.62874112,27.65931636,1.969424767,0.587670659,,
SYBR,PR 1,Unkn-07,W+A+ BOTTOM,Bottom,Infective and Weevils,1,1,28.22562405,31.35287583,-3.12725178,-1.307584005,,
SYBR,PR 1,Unkn-07,W+A+ BOTTOM,Bottom,Infective and Weevils,1,2,27.79554153,31.83272077,-4.03717924,-1.75004996,,
SYBR,PR 1,Unkn-07,W+A+ BOTTOM,Bottom,Infective and Weevils,1,3,27.58678262,31.99150662,-4.404723995,-2.041584458,,
SYBR,PR 1,Unkn-08,W+A+ BOTTOM,Bottom,Infective and Weevils,2,1,22.04238457,23.90570946,-1.863324893,-2.433739928,,
SYBR,PR 1,Unkn-08,W+A+ BOTTOM,Bottom,Infective and Weevils,2,2,22.75537133,23.0832684,-0.327897072,-2.800740155,,
SYBR,PR 1,Unkn-08,W+A+ BOTTOM,Bottom,Infective and Weevils,2,3,22.13742109,23.65041413,-1.512993045,-3.167740381,,
SYBR,PR 1,Unkn-09,W+A+ BOTTOM,Bottom,Infective and Weevils,3,1,24.43086006,26.42249426,-1.991634201,-1.826638375,,
SYBR,PR 1,Unkn-09,W+A+ BOTTOM,Bottom,Infective and Weevils,3,2,23.53115324,26.48166372,-2.950510481,-1.658030585,,
SYBR,PR 1,Unkn-09,W+A+ BOTTOM,Bottom,Infective and Weevils,3,3,24.80686572,26.36332481,-1.556459091,-1.2357144,,
SYBR,PR 1,Unkn-04,W+A+ MID,Middle,Infective and Weevils,1,1,22.26158341,24.75737735,-2.495793949,0.081030465,,
SYBR,PR 1,Unkn-04,W+A+ MID,Middle,Infective and Weevils,1,2,22.02525303,24.77238748,-2.747134447,-0.090842263,,
SYBR,PR 1,Unkn-04,W+A+ MID,Middle,Infective and Weevils,1,3,22.09398886,24.77210184,-2.678112977,0.253965371,,
SYBR,PR 1,Unkn-05,W+A+ MID,Middle,Infective and Weevils,2,1,22.77112281,24.54572918,-1.774606373,0.713743965,,
SYBR,PR 1,Unkn-05,W+A+ MID,Middle,Infective and Weevils,2,2,23.1104338,25.06907837,-1.958644563,1.243021752,,
SYBR,PR 1,Unkn-05,W+A+ MID,Middle,Infective and Weevils,2,3,23.3624662,24.58750423,-1.225038027,0.015916024,,
SYBR,PR 1,Unkn-06,W+A+ MID,Middle,Infective and Weevils,3,1,23.89890051,25.57988266,-1.680982141,1.444003619,,
SYBR,PR 1,Unkn-06,W+A+ MID,Middle,Infective and Weevils,3,2,24.38685259,25.94248562,-1.555633029,0.449490906,,
SYBR,PR 1,Unkn-06,W+A+ MID,Middle,Infective and Weevils,3,3,24.75224452,26.32427609,-1.572031575,0.584313833,,
SYBR,PR 1,Unkn-01,W+A+ TOP,Top,Infective and Weevils,1,1,27.61324688,28.1950607,-0.581813812,-1.032984268,,
SYBR,PR1,Unkn-01,W+A+ TOP,Top,Infective and Weevils,1,2,27.55514063,28.01795267,-0.462812044,-0.991206614,,
SYBR,PR 1,Unkn-01,W+A+ TOP,Top,Infective and Weevils,1,3,27.67135314,28.95400692,-1.282653776,-3.234748985,,
SYBR,PR 1,Unkn-02,W+A+ TOP,Top,Infective and Weevils,2,1,29.02104493,31.30944411,-2.288399178,1.970991009,,
SYBR,PR 1,Unkn-02,W+A+ TOP,Top,Infective and Weevils,2,2,29.04796131,31.34387051,-2.295909199,1.633134336,,
SYBR,PR 1,Unkn-02,W+A+ TOP,Top,Infective and Weevils,2,3,28.99412856,31.05493819,-2.060809627,1.850538219,,
SYBR,PR 1,Unkn-03,W+A+ TOP,Top,Infective and Weevils,3,1,27.30810476,27.21090968,0.097195084,-1.569468686,,
SYBR,PR 1,Unkn-03,W+A+ TOP,Top,Infective and Weevils,3,2,27.61167716,27.24833665,0.363340504,-1.974134257,,
SYBR,PR 1,Unkn-03,W+A+ TOP,Top,Infective and Weevils,3,3,27.36206319,27.36617809,-0.004114895,-1.785228803,,
SYBR,PR 1,Unkn-32,W-A- BOT,Bottom,Control,1,1,28.09859011,21.48155821,6.617031901,3.49643435,,
SYBR,PR 1,Unkn-32,W-A- BOT,Bottom,Control,1,2,28.24158131,21.68803168,6.553549635,3.600930878,,
SYBR,PR 1,Unkn-33,W-A- BOT,Bottom,Control,1,3,28.11769363,21.51966056,6.598033065,3.079474977,,
SYBR,PR 1,Unkn-33,W-A- BOT,Bottom,Control,2,1,31.67455575,24.20781868,7.466737074,2.93417011,,
SYBR,PR 1,Unkn-34,W-A- BOT,Bottom,Control,2,2,32.24093846,24.16609638,8.07484208,3.219685005,,
SYBR,PR 1,Unkn-35,W-A- BOT,Bottom,Control,2,3,31.63699124,24.11050039,7.52649085,4.753182111,,
SYBR,PR 1,Unkn-36,W-A- BOT,Bottom,Control,3,1,31.05113631,23.50034523,7.550791079,4.556800081,,
SYBR,PR 1,Unkn-30,W-A- BOT,Bottom,Control,3,2,28.66725331,22.73375823,5.933495072,5.492687246,,
SYBR,PR 1,Unkn-31,W-A- BOT,Bottom,Control,3,3,29.13910913,22.98559849,6.153510648,5.068618309,,
SYBR,PR 1,Unkn-32,W-A- MID,Middle,Control,1,1,28.98171424,27.85938903,1.122325208,4.486748923,,
SYBR,PR 1,Unkn-33,W-A- MID,Middle,Control,1,2,28.55359,27.95741002,0.596179973,5.797226982,,
SYBR,PR 1,Unkn-33,W-A- MID,Middle,Control,1,3,27.75454352,27.22567883,0.528864694,6.021443309,,
SYBR,PR 1,Unkn-34,W-A- MID,Middle,Control,2,1,29.871895,28.20356291,1.668332093,5.367486498,,
SYBR,PR 1,Unkn-35,W-A- MID,Middle,Control,2,2,29.75593901,28.07904158,1.676897433,4.146088132,,
SYBR,PR 1,Unkn-36,W-A- MID,Middle,Control,2,3,29.69163564,27.55412609,2.137509549,4.138469692,,
SYBR,PR 1,Unkn-30,W-A- MID,Middle,Control,3,1,30.18050064,23.30426433,6.876236313,4.161088851,,
SYBR,PR 1,Unkn-31,W-A- MID,Middle,Control,3,2,30.26849687,23.22047737,7.048019495,4.133298658,,
SYBR,PR 1,Unkn-31,W-A- MID,Middle,Control,3,3,30.4519409,23.13669042,7.315250487,5.944236871,,
SYBR,PR 1,Unkn-28,W-A- TOP,Top,Control,1,1,30.66890584,23.04339136,7.625514481,5.944236871,,
SYBR,PR 1,Unkn-28,W-A- TOP,Top,Control,1,2,29.44619805,23.49509007,5.951107986,5.24179205,,
SYBR,PR 1,Unkn-29,W-A- TOP,Top,Control,1,3,29.24113625,23.59290851,5.648227746,5.238840602,,
SYBR,PR 1,Unkn-29,W-A- TOP,Top,Control,2,1,29.56522304,23.32751615,6.237706889,4.655586614,,
SYBR,PR 1,Unkn-30,W-A- TOP,Top,Control,2,2,31.80157085,25.09308166,6.708489191,4.918580824,,
SYBR,PR 1,Unkn-30,W-A- TOP,Top,Control,2,3,31.21819182,23.27701094,7.941180872,5.203904207,,
SYBR,PR 1,Unkn-31,W-A- TOP,Top,Control,3,1,30.34066001,23.52156772,6.819092289,6.344215606,,
SYBR,PR 1,Unkn-31,W-A- TOP,Top,Control,3,2,30.37184925,23.66222079,6.70962846,6.733438764,,
SYBR,PR 1,Unkn-32,W-A- TOP,Top,Control,3,3,30.30947076,22.98389786,7.325572902,6.975660975,,
